text,label
"Syntax Integration Limited Designing, supplying, implementing and supporting IT business solutions to medium and large corporations. ",4
Metal Texture Gallery A gallery of metal textures for web page backgrounds or other graphic applications from About.com. ,7
"USFlashMap.com Interactive USA Flash mapping solutions for Real Estate, Spacial Statistics, Business Locator Applications. ",11
"Winamp Official site for the windows music player capable of playing MP3s, MP2s, WAVs, VOCs and MIDI files. Provides free download, community skins and plug-ins, free on-demand audio, and games. ",11
Green Valley Mac Users Group Pictures and resume. ,17
FreeFont.de by SoftMaker Download high quality typefaces from German font foundry SoftMaker for free. All fonts come with hand-crafted Euro signs. ,7
pokefinder.org Commodore 64 FTP file search. ,17
"Technijian, Inc. IT support for mid-sized businesses. Based in Irvine. ",4
"LPC Consulting Vancouver, BC based company that offers Linux server installation and maintenance. ",4
REBUS - Render Farm - Render Farm with 600 GHz for only 30 cent/GHzh including fullservice. ,2
Oracle OpenWorld Oracle's international technology conference. ,2
"Paccanaro, Alberto Learning distributed representation of concepts from relational data. ",0
"Hildebrand Interactive Providing Internet, TV and digital media solutions. ",11
"Tufts University Department of Electrical Engineering and Computer Science Faculty and students home pages, photo gallery, course and degree program descriptions. Medford. ",3
"Neill Technologies Offers SalonBiz and SpaBiz software for appointments, customers, inventory, sales ticket and customized reports. ",16
Dollzmaniacs' Rose Garden A choice of dolls and bases. Includes doll makers. ,7
"Cb3rob.net Established UNIX shell provider since 1996, Various shell account programs. ",9
"GP-96 Genetic Programming 1996 Conference, July 28-31: Stanford University. ",0
WILDEC Develops Palm OS games like Video Poker and a Tetris-style game called Quirks. ,17
"Graphisoft R&amp;D Zrt. The developers of ArchiCAD, a 3D architectural design software with 2D drawing and layout functions for architects, interior designers and structural engineers. ",1
AMCI Wireless A solution provider and system integrator for wireless data communications systems. ,10
"University of Texas - Pan American Edinburg, Texas ",3
JavaHelp FAQ Frequently asked questions with answers about JavaHelp. (Sun) ,5
GetReminders.com A free web based reminder service. ,9
"DDMI STUDIOS DDMI STUDIOS is a producer of multimedia content, web content, video production, full recording studios, CD-ROM / DVD, duplication and labeling. ",11
"Mpathix Inc. Provides an open, extensible, standards compliant, unified messaging service node. ",5
Sigmax Ltd. Manufactures ceramic barcode labels and stainless steel barcode tags for harsh environment and high heat applications. ,8
"Diplodock Software High quality shareware for home, office, business, Internet, leisure, and the developer. Software includes system and registry tools, ActiveX, viewers, editors, and components. Search for software; view helpful articles and links to other web site on the most recent software. Note: May not support some browsers. ",16
"Leading Edge Technology Specialists in Microsoft ASP.NET web applications and SQL Server database development. Based in Palm Beach Gardens, Florida. ",4
"ACG Soft Substantial collection of free code samples, classes, and downloads. Utilities sold for printing, outputting PDF files, FTP, fax, email, and other functions. ",16
"Visendo Analyzer Based on the .NET platform, this program is designed to analyze almost any logfile, independently of the source data format, including webserver logfiles, databases, eventlogs or other text-sources. ",16
Nanomedicine Art Gallery Foresight Institute's art gallery shows artists renderings of nano-scale medical robots. ,14
"HP Contact Information Contact information for HP, including phone numbers, email addresses, office locations, and links to product support information. Organized by country. ",2
"OTB Creative Services LLC Offers services in CD authoring, kiosk development and programming, video and animation, photo restoration, print design, web design and programming, Flash, and site marketing. Located in Glendale, Arizona, United States. ",11
"Protonic.com Provides free, fast, and accurate online technical support by a real person. ",2
"Incremental Development, Inc. SGML and XML consulting - eight years experience. We help structure text and surrounding business processes with emphasis on simplicity and skill transfer. ",5
Team-MP3 FAQ Answers many common questions about the audio format. ,11
Eternal Fonts Thousands of free PC and Mac fonts with custom previews. ,7
J.Knutson and Associates Inc Sales and support of cost accounting systems and service management software for the construction industry. ,4
The EPOC F.A.Q. A collection of common problems and solutions encountered on Psion EPOC devices. ,10
"Per-medjed Designs Graphics are categorized as historical, ancient, cultural, floral, nature, seasonal, the arts, Shakespeare, memorial, kids, metals and gems, and miscellaneous. Site also offers purchaseware sets and Outlook stationery. Custom work is available. ",7
"Cognex Corporation Designs, develops, manufactures and markets family of machine vision computer systems which are used to replace human vision in a wide range of manufacturing processes. ",0
"Panhandle Macintosh User Group Pensacola, FL. Special interest groups, overview of a typical meeting, links, officer list, and membership information. ",17
VoiceXml Yahoo Group VoiceXml user group at Yahoo. Includes discussions and experiences with VoiceXML syntax and applications. ,5
"Red Team Overview of the team and vehicle. News, and photo gallery. ",14
"Easy RGB Match RGB and color data to real products and color collections. Convert color data and find color complements, schemes and harmonies. ",7
LiteSSL Provides secure 128/256 bit ssl digital certificates. ,15
"Dassault Systemes, S.A. Develops and sells software products for computer aided design, computer aided manufacturing, computer aided engineering and product data management. ",1
"Pisces Dolls Dolls make for contests, but some are up for adoption. ",7
"OpenFest Lists worldwide free software festival activities, locations, organizers, and background information. ",12
"Adore Softphone Provides SIP softphone, web-to-phone, and click-to-call software. ",9
"Adaptive Path - AJAX: A New Approach to Web Applications Seminal article which popularized ""AJAX"" as a term. ",13
Free Search Uses ODP directory powered by Personal Open Directory. ,9
@doc Providing independent consulting and training in the document technologies industry. ,4
MSL Learning Systems IT training provider based in India. Live interactive web based training. Offers a wide variety of testing and certifications. ,6
"QuickTime development Apple offers technical FAQs, knowledge base and publicly available documentation files including the MOV file format. ",11
"A Serious Critique of P3P : Privacy on the Web This critique covers most of the facets of the P3P platform, examining both the assumptions and implementation. Areas targeted for critical need are: ""more specificity in declaring the purpose behind taking information, a means to establish a negotiated contract that goes beyond W3's APPEL (A P3P Preference Exchange Language), a means in the law for policing the contracts obtained, a means for transitivity and universality of the protection on information, and an IETF (Internet Engineering Task Force) definition that doesn't require the web (specifically, the HTTP protocol)."" ",15
"DevelopersHome.com Tutorials and examples for various WAP technologies such as XHTML MP (XHTML Mobile Profile), WCSS (WAP CSS), WML and WMLScript. ",10
LEA Netbook Olten Tools and programs for the PSION Netbook running on LEA system. In German. ,10
The Missing Bite Seller of Apple computer and Mac logo collectibles. Offers online ordering and testimonials. ,17
"i-Technica whitestuff Contains searchable archives of Flash postings, Flash tutorials and samples, and Flash actionscript references ",11
Gentoo Linux List of security announcements and information on how to sign up to security mailing list. ,15
"Watts, David Cyberwatts web page and E-commerce design using Macromedia Flash 4. ",11
"Green Solutions Multi-media manufacturing company providing environmentally sensitive products for wholesale and retail; includes Blu-ray discs, DVD, CD, books and magazines. ",8
"Industrial Robotix A robotic systems integrator of new and used robots from Motoman, Fanuc, ABB, Panasonic, Nachi, Staubli, Kawasaki, OTC, and manufacturers. ",14
"Introduction to XUL A short introduction to Mozilla's front-end architecture, concentrating on the task of building UIs. ",5
"Jim's Cool Icons Cool homegrown web graphics buttons, icons, nameplates and a few background textures. Free to good homes. ",7
"TechEncyclopedia Over 13,000 definitions of computer terms and concepts from CMP's TechWeb. ",5
"Answer Set Programming 2001 AAAI Spring 2001 Symposium - Towards Efficient and Scalable Knowledge Representation and Reasoning. Stanford, USA, March 26 - 28, 2001. ",3
"Teradata High-performance parallel database technology, data access and management tools, and data mining, scalable hardware, and data warehousing consultants. ",2
Oztronics ACCEL EDA DBX Utilities for the PCB CAD Designer ,1
Ad Server Solutions Provides ad management software applications and remotely hosted ad serving services. ,16
Brain-dumps.net Sells braindumps for individual exams or packages for most certifications. ,6
"Wagner Productions Offers design, flash, graphics, and multimedia services. ",9
YaCy A distributed Web crawler and caching HTTP/HTTPS proxy built on the principles of peer-to-peer (P2P) networks. ,12
Nortel Micom Integrated data/voice networking products manufacturer. ,5
"Gone Country Graphics Free for a link, original country graphics, custom graphics, page sets, signature tags, and custom website design with a country touch. ",7
"NTIA Reports, Filings and Related Material Nestled in among the FCC filings are reports and analyses dating back to 1995 covering topics such as spectrum allocation, use of information technology in the public safety sector, and global e-commerce. ",5
"BarFonts Collection of PostScript Type 1 fonts for printing bar codes, available under the GNU General Public License. The fonts consist of bars only, there is no human readable text along with the bars. ",7
"eLouai Smilies A personal collection of expressive smilies drawn by artist. Also available, IM smilies for Yahoo, AOL and MSN. Site includes a smiley face generator. ",7
"Source One Network Solutions, LLC Design, implementation, evaluation, auditing and optimization of complex corporate networks. ",5
Nikon Electronic Imaging Division Manufacturer of film scanners. ,8
Get Free Web Designs A site to download web design templates and to share designs with others. ,7
"Honeynet.BR Brazilian Honeypots Alliance. Includes tools to summaries honeyd logs, mydoom.pl (A Perl script which emulates the backdoor installed by the Mydoom virus), and an OpenBSD LiveCD Honeypot. ",15
Widi A Midi Player for Advanced Linux Sound Architecture(ALSA)/Open Sound System(OSS) ,11
"Brooks, Rodney A. Director of the MIT CS and AI Lab. CTO of iRobot. Involved in a wide range of robotics research initiatives. Best known as the creator of Subsumption Architecture in which layers of simple behaviors create complex emergent behaviors. ",14
"Centillium Communications, Inc. Develops system-level products for broadband communication in homes or businesses. (Nasdaq: CTLM). ",5
"The Macintosh Guild Sunnyvale, CA. Mailing list, downloadable freeware and shareware, links, articles, and information available to Lockheed Martin employees. ",17
"Free Clipart Collection All clipart organized alphabetically by subject matter. Backgrounds, fonts and desktop wallpapers. ",7
"Mozilla Public License Describes the licensing policy of the Mozilla Foundation, and provides the full text of the license, and FAQs. ",12
"OpenPrivacy.org An open source, cryptographically secure, transparent to and for the user, distributed platform for creating, maintaining, and selectively sharing profile information. ",15
Nooey Ltd. PLMjobs.com is a directory for careers in Product Data Management (PDM) and Product Lifecycle Management (PLM). ,1
Promote Research Portal for conferences on the topics of artificial intelligence; enterprise information systems and web technologies; high performance computing and networking; and software engineering. Includes information on paper submission and conference locations. ,3
"PDF Tools AG Command line tools and library APIs for document conversion and manipulation. Also provide toolkits for encryption, form filling and flattening, imaging, merging, splitting, information retrieval, content construction, image conversion. ",5
"Integrated Communications Management of Broadband Networks Online book, topics are network management, TMN, ATM, broadband networks, requirements, specification, architecture, design and implementation. ",5
W3C XML Schema Test Collection Collection of test schemas used to ensure consistency among XML Schema implementations. ,5
University of Illinois at Urbana-Champaign Department of Computer Science. ,3
Audio File Library An API for accessing a variety of audio file formats. ,11
"phpMyVisites A website statistics and web analytics application. Support, demo, download, and forums are provided. (PHP) ",12
DCB's T1 Info All you wanted to know about T1's but were afraid to ask. ,5
Libregamewiki The encyclopedia of free (as in freedom) games with free content. ,12
"Polyhedron Software Fortran compilers, tools and libraries, Mathematica, Tecplot, and consultancy services. ",13
FCC Information and public notices for consumers and businesses involved in third generation wireless. ,10
"MicroVideo Learning Systems Offers end-user and technical titles on video, CD-ROM and intranet deliverable formats. ",6
"Cisco exam notes A good collection of exam notes for many Cisco exams in PDF, HTML or printable format. A membership is required to download material. ",6
"Computacenter Training Offers IT training in the United Kingdom in joint partnership with Spring IT Training. Training centres in Birmingham, London and Leeds. ",6
"Data Circle Products include Datapass, Dataware, and Dataguide. ",15
"Web-Net Solutions Providing web design, networking, and support for individuals and businesses. ",4
"Axel Josefson &amp; Co. Swedish firm offers e-business development in business and system engineering, and marketing. ",4
Template:css An online tool to find CSS page templates. Search layouts using different parameters or submit a template layout. ,5
"Konstantin Saliy Software for the S3a, programmers' FAQ and a Russian Psion page (Windows 1251). ",10
The Future of Networking Technologies for Learning A series of white papers addressing the role of telecommunications in education. ,5
"Objets Dart Free original fonts, focussing mainly on simplicity and legibility. ",7
"RGraph An HTML5 graphing library for websites on all platforms. Includes beta download, workgin examples, and details of the benefits of using the HTML5's canvas element. ",13
"Computer Solutions Design and installation of LANs, WANs, and VPNs, technical and software support. E-commerce, web and graphic design. ",4
"MFCS 2000 25th International Symposium on Mathematical Foundations of Computer Science. Bratislava, Slovak Republic; 28 August Ã¢ÂÂ 1 September 2000. ",3
Transition Networks Designs and manufactures copper to fiber media converters for a broad range of network environments. ,5
NextgenID Offers fingerprint and face recognition products. ,15
"Western Canadian Robotics Society Based in Calgary, Alberta, Canada. Founded in 2001. WCRS holds monthly meetings at the SAIT campus and puts on the annual Western Canadian Robot Games. Photos, general information and a meeting calendar. ",14
"Tips for Manufacturing Video training tutorials for design and toolpath, using Mastercam V8 and Mastercam V9. Real world training examples presented in step by step lessons. ",1
zsync An implementation of rsync over HTTP. ,12
"IBM Corporation The IBM corporate home page, entry point to information about IBM products and services. ",2
KronoJunior Open source GUI for less powerful or old computers. ,12
"The NeuroCOLT Project ESPRIT working group on Neural and Computational Learning Theory. Partners, projects, publications archive. ",0
MetaStrike Allows single interface to search multiple search engines with duplicates filtered out. Results list search engine sources. ,9
"JKN Electronics Inc. Distributor of video frame grabbers for a variety of buses, CCD cameras and lenses. ",8
"Mayo Software Consulting, Inc. Delivers .NET software training and consulting services. ",13
"JavaLog A logging class library with runtime configurable formatting and event filtering. [Open Source, MPL] ",13
"Vardi, Moshe Y. Recent paper on the hardness of random formulas for SAT solver; bounded tree-width. ",3
Ruby License Dual terms: use GPL terms or its own terms. ,12
"LouBee's Cyber Orphanage Babies including infants, bees, bunnies, and pixies with adoption certificates. ",7
Debian GNU/Linux -- x-terminal-emulator Different packages providing x-terminal-emulator under GPL. ,5
"Cameo Info-Tech Provide mobile devices (PDA, SmartPhone, and Notebook), software and platforms for Internet connections through GPRS. ",10
"Paske, Jon New Zealand based graphic and website design, photography, and brochures. ",9
OTC Offering industrial internet infrastructure solutions that meet specific needs while providing access to data centers and resources. ,5
"Dar-Tech, LLC System integrators specializing in small to medium sized businesses. ",4
"IEEE Author Digital Toolbox Include style manual, and a LaTeX class for IEEE Transactions, Journals, Magazines and Letters. This page also has author information including FAQs, a BibTeX style file and an MS Word template. ",16
Configure Terminal Provides a variety of training materials for Cisco certification exams. ,6
Creating Java Applications using NetRexx IBM Redbook. ,13
SZTAKI Desktop Grid Currently searches for generalized binary number systems. ,3
"Laogu Developer Site About Embeded System.Mcs51,Msp430,Pic,Keil c51 ,Arm,DSP,Protel ",4
"Uplynx Michigan Uplynx operates two Michigan based Ku satellite trucks for news, sports and teleconferencing. ",5
"Piolet Music file sharing application supporting text and voice chat, multi-source MP3 and ogg downloads, and a built-in media player. ",16
Tivoli/IBM: TME10 forum at Tek-Tips Tivoli/IBM: TME10 technical support forums and mutual help system for computer professionals. Selling and recruiting forbidden. ,2
"Silverdata IT Solutions Data, network and web design, e-commerce consulting and project management. ",4
"Iron Key Encrypts files using the industry-standard DES cipher and produces self-extracting Windows executable encrypted files, which can be sent safely over the Internet. ",16
"NMS Communications Provides telecommunications equipment for voice portals, eCRM, speech-enabled applications, enhanced services, VoIP, VoDSL, VoBroadband, VoWLL access, and guaranteed QoS. ",5
"WLAN Mall Wireless distributor. Includes products offered, online store and contact information. ",5
"Disipal Designs Themes, modules, blocks, addons, and tools. ",13
"Everythingberry BlackBerry related news, reviews, a community forum, an online shop and a wallpaper section. ",17
"TAG Business Computing Ltd. Document delivery and switching software. TAGfax - fax, email and printing. TAGswitch - multiple user sessions without additional license costs. ",17
Ishopezy.com Lets users share shopping lists online and access them with mobile phone or PDA. Free registration required. ,10
MayaVi Scientific data visualizer written in Python ,12
"Rao, Rajesh P. N. Models of human and computer vision. ",0
"CCPrep: Training Provider Online internetworking community offering training, white papers, lab scenarios, discussion forums, and career advice for candidates. ",6
"GPS Pilot GPS software for 3Com Palm Computing Platform. Set a Global Positioning system in your Palm. Moving digital maps, tracking, flight planner, data collection. ",17
"PC Support Tips .com Free access to small business PC support tips including hardware, software, data backup, power protection and virus protection. ",2
"Agile IT Solutions, LLC Provides on-site consultation, virus removal, e-mail configuration and the installation of hardware and software for home and small businesses in Portland. ",4
"SCV Scientific computing and visualization group at Boston University. Research in computational science and engineering, scientific visualization, and computer graphics. ",3
"Handspring Updater V1.0.0 An Epinions review of a fix for three potential Visor problems: inadvertently launching the calculator, hotsynching with a serial cradle and a modem Springboard module, and possibly faulty memory in the Visor Deluxe. ",17
JavaFX Script: Dynamic Java Scripting for Rich Internet/Client-side Applications Book from Apress by James L. Weaver on topic. Includes source and errata. ,11
"Lancaster Consulting, Inc. Iowa based computer consulting firm that manages Novell and NT LANs for small business that do not want to employ a full time LAN manager. ",4
"Finnish Artificial Intelligence Society Links to events, list of publications, information about the society. ",0
SIGDA: Design Automation Society for those involved in the application of computing to electrical and electronic design. ,3
Elite Certify Offers study guides containing realistic IT exam questions to prepare the student for most industry certifications. ,6
Bicycle GIFs Free clipart and animations for bicycling theme web pages. ,7
Sure Shot Software Several programs that allow you to monitor Windows user activities. ,15
"Calence, Inc. Voice over ip and network integration firm located in Phoenix, Arizona. ",4
RFC 2392 Content-ID and Message-ID Uniform Resource Locators. E. Levinson. August 1998. ,9
University of North Carolina at Charlotte Department of Computer Science. ,3
"Evolutionary Design of Neural Architectures Information, bibliography and resources on evolutionary synthesis of neuromorphic systems. Maintained by the Artificial Intelligence Research Group at Iowa State University. ",0
DESK Rotterdam. Base of MicroDigital Europe. ,17
Wikipedia Listing for VML Overview of the Vector Markup Language. ,5
"Megaprime Offers ISO/IEC 17799 compliant information security policy and management systems, security architectures, secure applications and networks. ",15
"South Shore Mac Users Group Located in Suffolk County, New York. Provides a discussion list, meeting information ,and useful Macintosh links. ",17
"Faronics Develops and markets end-point non-restrictive, configuration management and whitelist based software security solutions. ",15
LibRT Professional services and products in information and knowledge technology to support the knowledge engineer in building intelligent applications. ,0
"Oxford Technologies, Ltd. Offers equipment and specialist services for the design, development and operation of advanced remote handling systems, manipulators, robotics and related products. ",14
EzMath MathML editor which generates HTML or MathML code. Freeware implementation for Windows 95/NT. ,5
"Coder's Toolbox Online tool to exchange between string (base64, XML, URL, UTF-8), number (binary, octal, hexidecimal), time (Unix timestamp, ISO8601 and RFC 2822) and network formats (netmasks). ",5
"Engineering Solutions Paul Mitchell Consultant offering 3D product design, tooling design and training for the tooling industry. ",1
Pass4sure Provides practice tests for the most popular vendor certifications. ,6
IWS - CISSP Book Reviews Reviews on various CISSP study books / materials. ,6
"ACM Transactions on Database Systems Includes information on upcoming issues, archives, links and information on preparing a manuscript for submission. ",3
"Industrial Networking Solutions Distributes industrial networking equipment and services. Includes products and services offered, online store and contact information. ",5
Delta Communication Group Provides data communications equipment from most major manufacturers. ,5
"New Orleans Macintosh User Group Bulletin boards, newsletter, special interest groups, and meeting schedule. ",17
"Nordic Messaging SMS gateway and Enterprise Messaging Gateway, UNIX-based high-performance products for sending and receiving text messages (SMS). ",10
AutoCAD Developers Group Europe A non-profit association of software developers who are working on applications around AutoCAD. ,1
"BBC Robot World Offers news, reviews and history of robots, as well as robot building guides and a discussion forum. ",14
"Free Graphics Resources for Webmasters Buttons, animated GIFs, clipart, backgrounds for web page, icons, ttf collection, fonts, plugins, screensavers, borders, desktop themes, software, shareware, guest book, email, counters for web page. ",7
"Free Curriculum Project An effort to create a complete K-12 curriculum and set of course materials that are ""Free"" in the GNU sense. ",12
"Hard Working Websites Provides print advertising and web design services for small and medium sized businesses in Omaha, Nebraska. ",9
Amateur Radio World-Wide Provides a WAP Site for amateur and shortwave radio resource. ,10
"3DPI DCR tool Xtra giving a Property Inspector for viewing and editing properties of Shockwave 3D members and sprites, as well as allows saving of Shockwave 3D scenes and access to AGEIA PhysX engine properties and functions for Director 11 use. ",11
"Merlin Systems Corp., Ltd. Provides ""humaniform"" air muscle actuators, sensors, robots, and robot components. Based in Derriford, Plymouth, United Kingdom. ",14
I2C Software Drivers Drivers and information on I2C. ,8
"Palm Open Source Open source software, documentation, and information for programmers of Palm OS devices. ",17
Grant's Wiring Closet A teenager's experience with home networking. ,5
DotNetGraphics Free banner design and creation. ,7
Systech Telecom Hotel hotspot operator in Hong Kong. ,5
"Anderson Computer Instruction Microsoft Office and Windows software application tutorials. Located in Somersworth, New Hampshire. ",6
"Type A Design Creators of the fonts Toontime, Zoink, and Marty's Dingbits for Mac and Windows. ",7
"DataDocs, Inc. Documentation and design company created to keep pace with the ever changing and expanding world of Commercial and Critical Data Construction. ",5
"Eltan We cover all aspects of product development in hardware, Firmware (BIOS), Device Drivers, (Real Time) Operating Systems and Security. ",2
Delta Cad A 2D CAD software designed to be easy to use. ,1
"University of Wyoming Laramie, Wyoming ",3
"Astaro: Integrated Perimiter Security Software Astaro supplies integrated perimeter security software solutions that include firewall, VPN, virus, surf and spam. ",15
"Linux Programmer Group Linux utilities for TI calculators, including GtkTiLink, a calculator linking program for both Windows and *nix systems. ",8
"Expert Networks Inc. Specializes in IT solutions like remote administration, remote network hosting, LAN and WAN development, wireless networks and network security. ",4
"4 Service, Inc. Offers business continuity services including data protection, managed disaster recovery, online server backups, and Oracle data replication. ",4
Unix Shell Patterns A collection of idioms for Unix shell programming ,13
Andrew Schein's Web Page Machine learning approaches to data mining focussing on text mining applications ,0
"Pinheiro da Silva, Paulo Stanford University. Explanations for semantic web tasks, semantic web tools and infrastructure, model-based user interfaces, formal specification and verification of interactive systems. ",0
