file_name,text,class,Y
1619239.txt,Nutrition Action Healthletter - Trans Fat Article provide consumers with recommendations for avoiding trans fats when eating out. ,Nutrition,7
1582337.txt,"Synergy Contact and general information for ""transformative massage"", utilizing intuitive bodywork/energy work. Offers counseling, coaching, and developing wellness plans to prevent relapse of problems or issues. ",Alternative,1
Health_and_Safety_1626036.txt,"South East Louisiana Search and Rescue A non-profit organization comprised of hundreds of governmental agencies and volunteers. Information on training, members, introduction, and links. ",Public,10
1618228.txt,"Health Professionals Online recruitment service for nurses wishing to work in the UK or Ireland, with an emphasis on London and Dublin. ",Nursing,6
and_Diseases_1596536.txt,"eMedicine Pulmonology: Aspergillosis Provides information on the disease caused by different species of the mold, Aspergillus, the pathophysiology, frequency, mortality, morbidity, clinical presentation, differential diagnosis and treatment. ",Conditions,3
Health_1626768.txt,Boulder Valley Women's Health Center Independent non-profit women's health center offering a full range of community education and gynecological health care services including abortions. ,Reproductive,11
1578477.txt,Arium Foundation Resources for Addictions A non profit organization offering substance abuse information regarding fetal alcohol syndrome and other addiction issues. ,Addictions,0
1578397.txt,Drug Free Pennsylvania A non-profit organization created in 1990 by a coalition of community leaders with a mission of reinforcing youth anti-drug attitudes through a statewide program. ,Addictions,0
1623598.txt,"East Bay Therapy: Speech and Language Therapy Clinic Licensed, professional speech-language pathologists specializing in pediatric and adult communication disorders and language development. Located in Pleasanton, CA. ",Professions,9
1619017.txt,"Sarah Ley Diet, nutrition and lifestyle advice for individuals, groups, and organizations. Auckland, New Zealand. ",Nutrition,7
1611048.txt,Basel Institute for Clinical Epidemiology Advancing knowledge in evaluative sciences related to health and health care through interdisciplinary research. Part of the University of Basel in Switzerland. ,Medicine,4
and_Diseases_1590715.txt,RadiologyInfo: Head and Neck Cancer The American College of Radiology and the Radiological Society of North America explain different forms of treatment. ,Conditions,3
1618701.txt,"The Ontario Nursing Informatics Group Includes news, calendar of events, membership information, publications, and discussion forum. ",Nursing,6
1623541.txt,"Cincinnati Dayton Area Recreation Therapy Association Professional organization providing continuing education and networking opportunities. Includes events calendar, job openings, and details of internships. ",Professions,9
1583735.txt,"Veterinary Chiropractic Article on the pitfalls of having your animal adjusted by a veterinarian not trained in chiropractic, or a chiropractor not trained in veterinary medicine. ",Animal,2
1618511.txt,"Joanna Briggs Institute Offers a variety of evidence based nursing resources, including membership information, a notice board, best practice information sheets, nursing procedure manuals, and systematic reviews of nursing care. ",Nursing,6
1622998.txt,"360 Transcription Transcription services to family practices and hospitals. Description of transcription process and services. Danvers, IL. ",Professions,9
1583599.txt,"Holistic Health Yellow Pages Encyclopedia, database of wellness centers and alternative practitioners, and links. ",Alternative,1
1577246.txt,"Recovery Speakers Audio Archive AA speaker ""tapes."" Large collection for free download. ",Addictions,0
Health_1628564.txt,"Franciscan Communities Senior Services Independent and assisted living, skilled nursing care, Alzheimer's care, rehabilitative services, hospice, and home care in Indiana, Illinois, Kentucky, Ohio and Texas. Links to facilities sorted by location and services offered. ",Senior,12
1578088.txt,"Pia's Place Pia's Place is a ninety-day extended care facility operated by women for women. Treatment for alcoholism, drug addiction, PTSD, sexual trauma, dual diagnosis, sexual addiction, and related problems. Located in Prescott, AZ. ",Addictions,0
Health_and_Safety_1624330.txt,"Gott Volunteer Fire Department Contains an overview, activity report, personnel roster, photos, apparatus, news, memorials, scanner frequency, and contact details. ",Public,10
1578406.txt,"Drugs Information Information on heroin, cannabis, cocaine, crack, LSD, magic mushrooms, poppers, speed, Yaba, and opiates. This site also shows how these harmful drugs are taken and what symptoms to look out for. ",Addictions,0
1623548.txt,"West Virginia Therapeutic Recreation Association An affiliate of the national organization, providing information, photographs and a newsletter for members. ",Professions,9
1619164.txt,"Kentucky Dietetic Association State body offering news, events, speakers, membership, and members only pages. ",Nutrition,7
Health_1628604.txt,Always Best Care Assisted living placement service in California. ,Senior,12
1585625.txt,VetGen Purebred animal genetic (DNA) disease testing and profiling for dogs and horses. Includes list of services and company information. ,Animal,2
and_Diseases_1597310.txt,Cold Sores + Shingles Information on the various treatments available for oral herpes and some additional references to treatment of shingles. ,Conditions,3
1606500.txt,"The International Health Center's Laser Clinic Laser services and patient information pamphlets, Hilton Head, South Carolina. ",Medicine,4
Health_and_Safety_1624688.txt,"Putnam Valley Volunteer Fire Department - Putnam County, New York Volunteer since 1946. Extensive site services provided. ",Public,10
1584765.txt,The Daily Cat: Nutrition Articles on why cats must eat meat. ,Animal,2
1621889.txt,"MedlinePlus: Saquinavir Features information about dosage, usage, warnings, and side effects. ",Pharmacy,8
Health_1628216.txt,"Samuel's Site Features the story and photographs of Samuel, born in the 25th week of pregnancy at a weight of 1.60 lb. ",Reproductive,11
Health_1627915.txt,eMedicine Health - Labor Signs Consumer health resource center providing information on the signs of labor. ,Reproductive,11
Health_1628669.txt,"Inglenook Active adult assisted living community located in Brighton, Colorado. ",Senior,12
1578948.txt,'Impact Booster': Tobacco Firm Shows How Ammonia Spurs Delivery of Nicotine 1996 Pulitzer prize-winning reporting on how the tobacco industry uses ammonia to engineer cigarettes for addiction. ,Addictions,0
1585537.txt,Niacin ProVet healthcare information article on the role on niacin in pets. ,Animal,2
and_Diseases_1597735.txt,"Indiana State Department of Health: West Nile Virus Features news releases, links, maps, and references. In English and Spanish. ",Conditions,3
1619057.txt,"Houri, Debra MS Specializing in gastrointestinal disorders, weight management, allergies, and chronic fatigue. Located in Alexandria, Virginia, USA. ",Nutrition,7
and_Diseases_1600992.txt,"Hyperkalemia Wikipedia article explains what constitutes high potassium levels, signs and symptoms, causes, diagostic methods, and treatment. ",Conditions,3
Health_1628614.txt,"Adult Day Services Of Orange County Care for persons struggling with alzheimer's, dementia, and other impairments. ",Senior,12
1582305.txt,"Palo Alto School of Hypnotherapy Offers certification in hypnotherapy, continuing education courses, an online introductory video and workshops on perception, childbirth, and Ericksonian hypnotherapy. Palo Alto, California. ",Alternative,1
and_Diseases_1593949.txt,"Cushing's Syndrome Questions and answers about this disease. Covers symptoms, treatment, diagnosis, and research. From NIDDK. ",Conditions,3
1619022.txt,"Insight Nutrition Consultant Dietitians Experts in providing sensible practical advice for healthy living for life. Remote consultations available. Based in Geelong, Australia. ",Nutrition,7
1611271.txt,The Best Plastic Surgeons A book listing voted best plastic surgeons by their peers. Listed by specialty - not a referral service. ,Medicine,4
and_Diseases_1591287.txt,Synovial Sarcoma Support Message board to support and share information about synovial sarcoma. ,Conditions,3
1578526.txt,Recovery is Everywhere Public education and awareness campaign created to fight the stigma of addiction and normalize recovery. Site provides materials for community awareness and events. ,Addictions,0
Health_1628477.txt,Assisted Living On-Line An assisted living and senior housing directory detailing various options available throughout the U.S. and Canada. Includes useful senior-related resources and senior housing properties for sale. ,Senior,12
Health_1628149.txt,"PND Productions A Postnatal Depression (PND) video and CD ROM for health care professionals and parents dealing with the postnatal depression and its effects. Produced by PND counsellor, Liz Wise. ",Reproductive,11
Health_1614507.txt,"Therapy and Coaching San Ramon, California private practice of Patricia Robinson, MFT. Description of issues treated, including Asperger's syndrome, autism, and attention deficit hyperactivity disorder; telephone and video coaching; brief provider biography; FAQs; links to blog and newsletter ",Mental,5
Health_1615727.txt,"Understanding Depression Learn to understand depression and the role that thinking and attitude can play in it. Includes an online depression test, depression symptoms and cognitive therapy information. ",Mental,5
Health_1628123.txt,"Pregnancy Nutrition FAQ Designed for expectant mothers, addressing the baby's health needs and the foods that supply them. ",Reproductive,11
Health_1627922.txt,"Truly Prepared Detailing doula, childbirth, pregnancy and breastfeeding information with birth stories and descriptions of classes. Also has some products for sale. Louisville, Kentucky, USA. ",Reproductive,11
1585390.txt,Swine Theriogenology Information from the School of Veterinary Medicine at Louisiana State University on reproduction in pigs. ,Animal,2
1580398.txt,Journal of Vertebral Subluxation Research A peer-reviewed scientific journal devoted to subluxation based chiropractic research. Subscription required. ,Alternative,1
1617941.txt,"Edge Hill College of Higher Education Faculty of Health offers pre and post registration courses and a variety of continuing education programs. Includes requirements, description of courses, and schedules. ",Nursing,6
Health_1628739.txt,Windsor Gardens A retirement community and senior services company providing customized care and assistance with daily living. ,Senior,12
1620600.txt,Actidose Full prescribing information from RxList. ,Pharmacy,8
1585465.txt,Instant Pet Help Advice and information from Registered Animal Health Technologists and a Doctor of Veterinary Medecine including emergencies and routine pet care. ,Animal,2
Health_1617176.txt,GIDreform.org - Challenging Psychiatric Gender Stereotypes GIDreform.org is a resource for all who advocate reform of the psychiatric classification of gender diversity as mental disorder. ,Mental,5
and_Diseases_1590322.txt,GeneWeb: Adrenocortical Carcinoma Overview of the genetics of this type of cancer. ,Conditions,3
1618691.txt,"Page of Geriatrics and Long Term Care Geriatric links, resources and drug listings. ",Nursing,6
1618327.txt,"Japanese Nursing Association For licensed public health nurses, midwives, nurses, and licenced practical nurses. English page. ",Nursing,6
Health_and_Safety_1626338.txt,"Australian Indigenous Health Promotion Network Assists with the education and professional development of practitioners, researchers and policy makers, as well as providing advice and co-ordinating communication between groups. ",Public,10
Health_1628861.txt,Courtyard Fountains A senior housing alternative in Oregon. ,Senior,12
Health_1614247.txt,Emotionally Engaged Premarital counseling to relieve cold feet about marriage. ,Mental,5
1618054.txt,"University of Iowa Anesthesia Nursing Program For RNs with a minimum BSN or BAN leading to a MSN and CRNA designation. Includes requirements, selection process, tuition and fees, and student news. ",Nursing,6
1620693.txt,Coly-Mycin Full prescribing information from RxList. ,Pharmacy,8
Health_1628806.txt,Kingswood Retirement Community Online tour of this Kansas City based community which offers independent and assisted living. ,Senior,12
1610583.txt,"University Sports Medicine This facility, part of the State University of New York at Buffalo, serves western New York. Information on the offered treatments for a range of sports related conditions and injuries. ",Medicine,4
1604341.txt,Ina and Jack Kay Center for Supportive Care Hospice in the Hadassah medical center in Jerusalem. ,Medicine,4
1578786.txt,"Southeast Arizona Area of Narcotics Anonymous Meetings in Tucson, Benson, Bisbee, Nogales, Safford, Sierra, Vista, and Willcox. ",Addictions,0
1621452.txt,"MedlinePlus: Metronidazole Injection Features information about dosage, usage, warnings, and side effects. ",Pharmacy,8
1618795.txt,Psychiatric Nursing in Canada Information and links for the health professional and consumer. ,Nursing,6
Health_and_Safety_1625954.txt,"Search and Rescue Dogs of Maryland An all-volunteer, non-profit search and rescue unit utilizing air scenting dogs. Information, link and resources. Based in White Plains, Maryland. ",Public,10
1607846.txt,Associated Professional Sleep Societies A joint venture of the American Academy of Sleep Medicine and the Sleep Research Society. ,Medicine,4
and_Diseases_1590500.txt,Medical Enterprises: Synergo Description of a commercial treatment modality involving a hyperthermia device used in the treatment of superficial bladder cancer. ,Conditions,3
Health_1628931.txt,"Encore Communities Retirement &amp; Health Centers Retirement, assisted living, Alzheimer's care, skilled nursing, sub-acute, rehabilitation services with several locations in Kitsap County. ",Senior,12
Health_1628582.txt,Arcadia Estate Offers details about this Phoenix based adult living facility. ,Senior,12
Health_1614697.txt,"Stoppanic.com, Inc. Self-help treatment for overcoming panic attacks. ",Mental,5
1578518.txt,"Lee's Summit CARES Non-profit organization based in Lee's Summit, MO. CARES mission is to direct, support and coordinate efforts of the community to help reduce substance abuse and promote youth safety. ",Addictions,0
Health_1628950.txt,Ridgewood Care Center A detailed look at the services provided by this Racine based facility. ,Senior,12
Health_1615157.txt,Multiples Message Board Discussions about DID. ,Mental,5
1609649.txt,Pediatrics Electronic journals of the American Academy of Pediatrics. Subscription required to access full text. Pediatrics in Review quizzes can be done on-line for CME credit. ,Medicine,4
Health_and_Safety_1626533.txt,"Rural Health Education Network of Delaware, Otsego, Montgomery, and Schoharie Counties (USA) Their focus is on strengthening health education to the community and coordinate and integrate health care services to the Network Counties. ",Public,10
Health_1628882.txt,Morning Glory Littlestown. Family owned and operated. Private or semi-private rooms. 24 hour certified staff. ,Senior,12
1618952.txt,PCRM Article discussing possible changes to the popular American Food Guide Pyramid by the FDA and role it has had in the consumers diet. ,Nutrition,7
Health_1616743.txt,Manitoba Schizophrenia Society A Canadian support group offering assistance to those afflicted with this diagnosis. ,Mental,5
1620338.txt,"The Anxiety Community - Medication A collection of articles and forums on anti-anxiety medications, arranged by drug name. Includes the year that specific brand names were approved by the US FDA, a glossary, and directory. ",Pharmacy,8
1623153.txt,Avalon Center for Women's Health West Caldwell. Offers birthing services and well-woman care. Includes midwife profiles. ,Professions,9
1619221.txt,"Glyconutrients Reference Provides research findings, mechanism of action, and details of suppliers. ",Nutrition,7
1607246.txt,"Zimmet Vein and Dermatology Clinic Steven E. Zimmet, M.D presents his clinic and services Austin, Texas, USA. ",Medicine,4
1618555.txt,"Advances in Wound Care A peer-reviewed, multidisciplinary journal which features original research, clinical reviews, and articles addressing practical management of skin and wound care patients. ",Nursing,6
Health_1626856.txt,Women's Medical Center Patient forms and information about the procedure. Houston. ,Reproductive,11
Health_1627110.txt,"Crisis Pregnancy Center of Southwest Mississippi Located in McComb. Offers pregnancy tests, peer counseling and education, maternity and baby supplies, referrals, computer job training, and recovery from pregnancy loss and abortion. ",Reproductive,11
1584527.txt,"Sheepdrove: Foot and Mouth Disease Information Includes news, articles, FAQ, and opinions for vaccination. ",Animal,2
1577485.txt,"Flagler County AA meetings in Beverly Beach, Bunnell, Daytona North, Espanola, Flagler Beach, Hammock, Marineland, PainterÃ¢ÂÂs Hill, and Palm Coast. Includes ""The Promises"" newsletter. By Flagler County Intergroup of Alcoholics Anonymous. ",Addictions,0
1617928.txt,"Bournemouth University Offers graduate and undergraduate courses in nursing, mental health and midwifery. Includes entry requirements, list of courses, and academic calendar. Poole, Dorset. ",Nursing,6
Health_1626986.txt,"Caring Pregnancy Center Located in Boulder, Nederland, and Lafayette. Information about unplanned pregnancy, adoption, sex, abortion, and the activities of the Center. ",Reproductive,11
1578018.txt,"Westover Treatment Centre Located in Thamesville. This residential treatment centre is available to individuals over the age of 16 who have an alcohol or drug dependency. Services are also available to those who are affected by family or friends with a substance abuse problem. Information on programs, funding and FAQs. ",Addictions,0
and_Diseases_1601672.txt,"Psoriasis Genetics Laboratory Research data, articles, and resources. Also offers details from the Familial Psoriasis Study at the University of Michigan. ",Conditions,3
1609987.txt,"Elite Psychiatry Alpharetta, Georgia psychiatrist giving information about his training and his practice. Contact information and patient forms are available online. Patients can schedule their appointments online. ",Medicine,4
1607151.txt,"Tucson Dermatologists Dr. Mimi Algazi, M.D, Dr. John Moseley, M.D and Dr. Kathy Orlick, M.D present their practice, Tucson. ",Medicine,4
and_Diseases_1594993.txt,"NORD - Noonan Syndrome Offers the synonyms, a general discussion and further resources. ",Conditions,3
1619138.txt,"Minnesota Dietetic and Nutrition Professionals State resources for locating a dietitian, government nutrition laws, food resources, meetings, and includes a listserv forum. ",Nutrition,7
1577952.txt,Teen Challenge Alberta Located near Calgary. Christian-based rehabilitation program offers young men and women freedom from drug and alcohol dependence with centres in Alberta. Complete information on their program is available here. ,Addictions,0
1587564.txt,"Blue Cross Animal Hospital General Veterinary Practice Full-service veterinary medical facility located in Las Vegas. Provides information on services offered, staff profiles, hospital tour, pet information and boarding. ",Animal,2
1619401.txt,"The Glycemic Index International database that includes nutritional calculations, research and news. ",Nutrition,7
Health_1617477.txt,Coping.org Free onsite manuals for coping with a variety of life's stressors including: variety of adult mental health issues and parenting especially dealing with children with disabilities. ,Mental,5
1621870.txt,Zemuron Official site from Schering Corporation. Includes prescribing information. ,Pharmacy,8
1618807.txt,"University of Utah: Office of Research and Scholarship Includes brochure and faculty list. Located in Salt Lake City, Utah, United States. ",Nursing,6
1617868.txt,"LTCS Books, Inc. Publishers of long term care documentation, with articles, newsletter, and regulatory updates. ",Nursing,6
and_Diseases_1601885.txt,"Insomnia Support Group An online support group for insomniacs with forums, journals and insomnia information. ",Conditions,3
1622452.txt,"University of South Florida: Department of Communication Sciences and Disorders Includes information on the graduate and undergraduate programs, the faculty and staff, the clinic and research. ",Professions,9
1619270.txt,"Copper Contains suggestions on increasing trace elements intake, good food sources, and recommended dosage. ",Nutrition,7
Health_1615359.txt,"Solutions Offers therapy, counseling, weekly classes, individual and group sessions, and monthly lectures. New York. ",Mental,5
1577060.txt,Substance Abuse - Alcoholism An exhaustive index of available online resources. ,Addictions,0
1578365.txt,Cirque Lodge Combines traditional cognitive therapy with daily experiential sessions for addiction recovery. Also offering equine and other therapy treatments. ,Addictions,0
1577019.txt,"Is the Internet Addictive, or Are Addicts Using the Internet? Paper by Storm A. King, that provides an overview of current research findings, and explanations of IAD. ",Addictions,0
1577625.txt,Alcoholics Anonymous Area 46 Lists meetings and contact information. ,Addictions,0
1618949.txt,VitaTalk.com Covers nutrition and various health-related issues. ,Nutrition,7
Health_1615618.txt,Bipolar Disorder Offering candid opinions on treatment and management of bipolar disorder. Presented by Eli Lilly and Company. ,Mental,5
1578530.txt,"FCD Educational Services, Inc. A nonprofit organization that provides alcohol, tobacco, and other drug education and prevention programs to schools throughout the United States and abroad. ",Addictions,0
1618420.txt,"Colorado Board of Nursing Contact information, board members, calendar, practice FAQs, license and complaint information. ",Nursing,6
and_Diseases_1593925.txt,"Hyperparathyroidism Disorder Explanation of this disorder, the importance of calcium and phosphorous, causes, symptoms, diagnosis, treatment and surgery. By MDchoice.com. ",Conditions,3
1619390.txt,"Sloan-Kettering - About Herbs, Botanicals &amp; Other Products Evidence-based information on herbs, botanicals, vitamins, supplements among others. This searchable database provides information for oncologists and healthcare professionals, including a clinical summary for each agent and details about constituents, adverse effects, interactions, and potential benefits or problems. ",Nutrition,7
Health_1627336.txt,Fertinova Infertility Clinic Site contains details of treatments and facilities in both English and Finnish. Based in Helsinki. ,Reproductive,11
1578680.txt,"International Mental Health Consultation Firm WLT Consulting assist individuals, organization and companies to develop culturally sensitive systems. These include: Peer Support Training, Evidence Based Best Practices, Recovery Focus Service, System/Provider Assessment and Consumer Driven Services. ",Addictions,0
Health_1628486.txt,National Citizens' Coalition for Nursing Home Reform A consumer and advocacy group for long term care. ,Senior,12
Health_1626978.txt,"Life Choices Pregnancy Center Longmont and Loveland. Crisis pregnancy center, counseling services, free pregnancy tests, abortion information, post-abortion, healthy sex, adoption, men's counseling, free baby and maternity clothing. ",Reproductive,11
1618557.txt,"Journal of Christian Nursing Strives to help Christian nurses view nursing practice through the eyes of faith. Editorial table of contents, and article summaries from current and back issues, author guidelines, upcoming topics, and subscription information. ",Nursing,6
1584334.txt,"Rabies Information on the course of this disease, its transmission, the law regarding animal bites, human exposure and animal quarantine. ",Animal,2
1583612.txt,"Natural Healing Today Health articles on natural remedies. Online version of print magazine for alternative medicine. Published in USA in three languages: English, Polish and Hungarian. ",Alternative,1
Health_1628048.txt,"Fetal Alcohol Syndrome Diagnostic and Prevention Network Located in Seattle, WA., this organization diagnosis and works with children diagnosed with this disorder. ",Reproductive,11
1606852.txt,"Cognitive Behavior Management Cognitive behavior is thought and the theory of behavior management. Examples include cognitive restructuring, therapy, and skill training. ",Medicine,4
Health_and_Safety_1626037.txt,"Southern Arizona Rescue Association Volunteer technical rescue team based in Tucson, Arizona. Includes team and membership information and contacts. ",Public,10
1609222.txt,Intraocular Implant and Refractive Society An association for ophthalmic surgeons performing cataract and refractive surgery in India. ,Medicine,4
1620441.txt,"MedlinePlus: Bismuth Subsalicylate (Oral) Provides information on usage, precautions, side effects and brand names when available. Data provided by government agencies and health-related organizations ",Pharmacy,8
1621918.txt,Kinevac Full prescribing information from RxList. ,Pharmacy,8
1604097.txt,"Hasbro Children's Hospital Surgical care for infants, children and adolescents, including congenital anomalies, tumors, trauma, endoscopy and laparoscopy. [Rhode Island] ",Medicine,4
1583074.txt,Sick House Survival Guide Offers ideas on how to reduce indoor pollution in your home. Includes articles and resources for related reading. ,Alternative,1
and_Diseases_1599966.txt,"Rhabdomyolysis Information about the medical condition rhabdomyolysis, complete with tables, pictures, and diagrams. ",Conditions,3
